Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Papain,10.25417/uic.19719751.v1,IC50,3,,indirect,20220604
Orange,10.6084/m9.figshare.19783635.v1,EC50,3,,indirect,20220604
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20220604
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20220604
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20220604
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20220604
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20220604
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220604
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220604
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220604
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220604
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220604
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220604
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220604
Dexamethasone,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220604
Baricitinib,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220604
Remdesivir,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220604
Merimepodib,10.1101/2021.12.18.473303,IC50,4,micro,direct,20220604
Threonine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220604
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220604
Carbon,10.1101/2021.12.18.473326,IC50,3,,direct,20220604
Remdesivir,10.1101/2021.12.03.471068,IC50,0.37, um,direct,20220604
Tropifexor,10.1101/2021.12.02.471030,EC50,4.03,micro,direct,20220604
Papain,10.1101/2021.12.02.471030,EC50,4.03,micro,indirect,20220604
Angiotensin,10.1101/2021.11.24.469776,IC50,sub - nanomolar ic50,,indirect,20220604
Ribose,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220604
Remdesivir,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220604
Ivermectin,10.1101/2021.11.01.466865,EC50,1,,direct,20220604
Moxidectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220604
Selamectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220604
