Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Honokiol,10.1101/2022.07.26.501656,EC50,7.8,micro,direct,20220823
Angiotensin,10.1101/2022.07.30.501940,IC50,64, nm,indirect,20220823
Artemisinin,10.1101/2022.07.22.501141,IC50,0.5,micro,direct,20220823
Nystatin,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20220823
Irbesartan,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20220823
Remdesivir,10.1101/2022.07.23.501242,EC50,31.8, nm,direct,20220823
Nitazoxanide,10.1101/2022.07.13.499346,IC50,0.05,,direct,20220823
Cysteine,10.1101/2022.07.06.498864,IC50,0.3,micro,indirect,20220823
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20220823
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20220823
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20220823
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20220823
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20220823
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220823
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220823
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220823
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220823
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220823
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220823
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220823
Remdesivir,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220823
Dexamethasone,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220823
Baricitinib,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220823
Merimepodib,10.1101/2021.12.18.473303,IC50,4,micro,direct,20220823
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220823
Threonine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220823
Carbon,10.1101/2021.12.18.473326,IC50,3,,direct,20220823
Remdesivir,10.1101/2021.12.03.471068,IC50,0.37, um,direct,20220823
Tropifexor,10.1101/2021.12.02.471030,IC50,3.39,micro,direct,20220823
Papain,10.1101/2021.12.02.471030,IC50,3.39,micro,indirect,20220823
Angiotensin,10.1101/2021.11.24.469776,IC50,sub - nanomolar ic50,,indirect,20220823
Remdesivir,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220823
Ribose,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220823
Ivermectin,10.1101/2021.11.01.466865,EC50,1,,direct,20220823
Moxidectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220823
Selamectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220823
Pectin,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220823
Rhamnose,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220823
Galactose,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220823
Melittin,10.1101/2021.10.21.465254,EC50,1.571,,direct,20220823
Gramicidin,10.1101/2021.10.21.465254,EC50,1.571,,direct,20220823
Pyronaridine,10.1101/2021.09.30.462449,IC50,1.8,micro,direct,20220823
Remdesivir,10.1101/2021.09.30.462449,IC50,1.8,micro,indirect,20220823
Disulfiram,10.1101/2021.09.17.460613,EC50,154, nm,direct,20220823
Copper,10.1101/2021.09.17.460613,EC50,154, nm,indirect,20220823
Remdesivir,10.1101/2021.09.07.459230,IC50,0.15,micro,direct,20220823
Artemisinin,10.1101/2021.09.08.459260,IC50,0.3,,direct,20220823
Water,10.1101/2021.09.08.459260,IC50,0.3,,indirect,20220823
Hydrogen,10.1101/2021.09.06.459055,IC50,0.41,,indirect,20220823
Leucine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect,20220823
Glutamine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect,20220823
Angiotensin,10.1101/2021.08.10.455627,IC50,2022,,indirect,20220823
Angiotensin,10.1101/2021.08.05.21261616,IC50,0.83,,indirect,20220823
Mefloquine,10.1101/2021.07.21.451321,EC50,1.2, um,direct,20220823
Hydroxychloroquine,10.1101/2021.07.21.451321,EC50,1.2, um,indirect,20220823
Chloroquine,10.1101/2021.07.21.451321,EC50,1.2, um,indirect,20220823
Remdesivir,10.1101/2021.07.03.450938,IC50,9.3,,direct,20220823
Quercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220823
Kaempferol,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220823
Dihydromyricetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220823
Rutin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220823
Dihydroquercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220823
Isoquercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220823
Chloroquine,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220823
Ebselen,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220823
Hydroxychloroquine,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220823
Bepridil,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220823
Boceprevir,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220823
Angiotensin,10.1101/2021.06.04.447130,IC50,15,,indirect,20220823
Cysteine,10.1101/2021.06.04.447160,IC50,60, um,indirect,20220823
Papain,10.1101/2021.06.04.447160,IC50,60, um,indirect,20220823
Angiotensin,10.1101/2021.05.17.444533,IC50,0.4,,indirect,20220823
Serine,10.1101/2021.05.06.442935,EC50,430, nm,indirect,20220823
Camostat,10.1101/2021.05.06.442935,EC50,430, nm,indirect,20220823
Hopeaphenol,10.1101/2021.04.29.442010,IC50,0.11, um,direct,20220823
Resveratrol,10.1101/2021.04.29.442010,IC50,0.11, um,indirect,20220823
Remdesivir,10.1101/2021.04.02.438204,IC50,1, um,indirect,20220823
Galidesivir,10.1101/2021.03.25.436935,IC50,1,,direct,20220823
Remdesivir,10.1101/2021.03.25.436935,IC50,1,,indirect,20220823
Favipiravir,10.1101/2021.03.25.436935,IC50,1,,indirect,20220823
Diclazuril,10.1101/2021.03.19.435806,IC50,29,,direct,20220823
Remdesivir,10.1101/2021.03.19.435806,IC50,29,,indirect,20220823
Tyrosine,10.1101/2021.03.19.435806,IC50,29,,indirect,20220823
Pazopanib,10.1101/2021.03.19.435806,IC50,29,,indirect,20220823
Sunitinib,10.1101/2021.03.19.435806,IC50,29,,indirect,20220823
