Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Znso4,10.1042/BCJ20220380,IC50,2, um,direct,20221012
Zncl2,10.1042/BCJ20220380,IC50,2, um,direct,20221012
Cysteine,10.1042/BCJ20220380,IC50,2, um,indirect,20221012
Tryptophan,10.1042/BCJ20220380,IC50,2, um,indirect,20221012
Papain,10.1042/BCJ20220380,IC50,2, um,indirect,20221012
Calcium,10.1042/BCJ20220380,IC50,2, um,indirect,20221012
Manganese,10.1042/BCJ20220380,IC50,2, um,indirect,20221012
Magnesium,10.1042/BCJ20220380,IC50,2, um,indirect,20221012
Angiotensin,10.1371/journal.ppat.1010799,EC50,8, nm,indirect,20221012
Angiotensin,10.1101/2022.07.30.501940,IC50,64, nm,indirect,20221012
Honokiol,10.1101/2022.07.26.501656,EC50,7.8,micro,direct,20221012
Nystatin,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20221012
Irbesartan,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20221012
Remdesivir,10.1101/2022.07.23.501242,EC50,31.8, nm,direct,20221012
Artemisinin,10.1101/2022.07.22.501141,IC50,0.5,micro,direct,20221012
Nitazoxanide,10.1101/2022.07.13.499346,IC50,0.05,,direct,20221012
Cysteine,10.1101/2022.07.06.498864,EC50,3.1,micro,indirect,20221012
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20221012
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20221012
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20221012
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20221012
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20221012
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221012
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221012
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221012
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221012
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221012
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20221012
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20221012
Dexamethasone,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20221012
Baricitinib,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20221012
Remdesivir,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20221012
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20221012
