Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Orange,10.6084/m9.figshare.19783635.v1,IC50,3,,indirect,20220619
Papain,10.25417/uic.19719751.v1,IC50,3,,indirect,20220619
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20220619
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20220619
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20220619
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20220619
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20220619
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220619
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220619
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220619
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220619
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220619
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220619
Threonine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220619
Carbon,10.1101/2021.12.18.473326,IC50,3,,direct,20220619
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220619
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220619
Dexamethasone,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220619
Baricitinib,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220619
Remdesivir,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220619
Merimepodib,10.1101/2021.12.18.473303,IC50,4,micro,direct,20220619
Remdesivir,10.1101/2021.12.03.471068,IC50,0.37, um,direct,20220619
Tropifexor,10.1101/2021.12.02.471030,IC50,3.39,micro,direct,20220619
Papain,10.1101/2021.12.02.471030,IC50,3.39,micro,indirect,20220619
Angiotensin,10.1101/2021.11.24.469776,IC50,sub - nanomolar ic50,,indirect,20220619
Remdesivir,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220619
Ribose,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220619
Ivermectin,10.1101/2021.11.01.466865,EC50,1,,direct,20220619
Moxidectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220619
Selamectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220619
Rhamnose,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220619
Pectin,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220619
Galactose,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220619
Melittin,10.1101/2021.10.21.465254,EC50,1.571,,direct,20220619
Gramicidin,10.1101/2021.10.21.465254,EC50,1.571,,direct,20220619
Pyronaridine,10.1101/2021.09.30.462449,IC50,1.8,micro,direct,20220619
Remdesivir,10.1101/2021.09.30.462449,IC50,1.8,micro,indirect,20220619
Disulfiram,10.1101/2021.09.17.460613,EC50,154, nm,direct,20220619
Copper,10.1101/2021.09.17.460613,EC50,154, nm,indirect,20220619
Remdesivir,10.1101/2021.09.07.459230,IC50,0.15,micro,direct,20220619
Artemisinin,10.1101/2021.09.08.459260,IC50,0.3,,direct,20220619
Water,10.1101/2021.09.08.459260,IC50,0.3,,indirect,20220619
Hydrogen,10.1101/2021.09.06.459055,IC50,0.41,,indirect,20220619
Glutamine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect,20220619
Leucine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect,20220619
Angiotensin,10.1101/2021.08.10.455627,IC50,2022,,indirect,20220619
Angiotensin,10.1101/2021.08.05.21261616,IC50,0.83,,indirect,20220619
Mefloquine,10.1101/2021.07.21.451321,EC50,1.2, um,direct,20220619
Chloroquine,10.1101/2021.07.21.451321,EC50,1.2, um,indirect,20220619
Hydroxychloroquine,10.1101/2021.07.21.451321,EC50,1.2, um,indirect,20220619
Dihydromyricetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220619
Quercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220619
Kaempferol,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220619
Rutin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220619
Dihydroquercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220619
Isoquercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20220619
Remdesivir,10.1101/2021.07.03.450938,IC50,9.3,,direct,20220619
Hydroxychloroquine,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220619
Ebselen,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220619
Bepridil,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220619
Chloroquine,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220619
Boceprevir,10.1101/2021.06.08.447613,EC50,1, um,indirect,20220619
Papain,10.1101/2021.06.04.447160,IC50,60, um,indirect,20220619
Cysteine,10.1101/2021.06.04.447160,IC50,60, um,indirect,20220619
Angiotensin,10.1101/2021.06.04.447130,IC50,15,,indirect,20220619
