Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Hydroxychloroquine,10.1002/jcph.2092,EC50,0.7, um,indirect,20221103
Hydrogen,10.1016/j.fct.2022.113438,IC50,2, um,indirect,20221103
Znso4,10.1042/BCJ20220380,IC50,2, um,direct,20221103
Zncl2,10.1042/BCJ20220380,IC50,2, um,direct,20221103
Magnesium,10.1042/BCJ20220380,IC50,2, um,indirect,20221103
Calcium,10.1042/BCJ20220380,IC50,2, um,indirect,20221103
Papain,10.1042/BCJ20220380,IC50,2, um,indirect,20221103
Cysteine,10.1042/BCJ20220380,IC50,2, um,indirect,20221103
Manganese,10.1042/BCJ20220380,IC50,2, um,indirect,20221103
Tryptophan,10.1042/BCJ20220380,IC50,2, um,indirect,20221103
Honokiol,10.1101/2022.07.26.501656,EC50,7.8,micro,direct,20221103
Angiotensin,10.1101/2022.07.30.501940,IC50,64, nm,indirect,20221103
Artemisinin,10.1101/2022.07.22.501141,IC50,0.5,micro,direct,20221103
Nystatin,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20221103
Irbesartan,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20221103
Remdesivir,10.1101/2022.07.23.501242,EC50,31.8, nm,direct,20221103
Nitazoxanide,10.1101/2022.07.13.499346,IC50,0.05,,direct,20221103
Cysteine,10.1101/2022.07.06.498864,IC50,0.3,micro,indirect,20221103
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20221103
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20221103
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20221103
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20221103
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20221103
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221103
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221103
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221103
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221103
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221103
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20221103
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20221103
Baricitinib,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20221103
Dexamethasone,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20221103
Remdesivir,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20221103
Threonine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20221103
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20221103
Carbon,10.1101/2021.12.18.473326,IC50,3,,direct,20221103
Merimepodib,10.1101/2021.12.18.473303,IC50,4,micro,direct,20221103
Remdesivir,10.1101/2021.12.03.471068,IC50,0.37, um,direct,20221103
Tropifexor,10.1101/2021.12.02.471030,IC50,3.39,micro,direct,20221103
Papain,10.1101/2021.12.02.471030,IC50,3.39,micro,indirect,20221103
Angiotensin,10.1101/2021.11.24.469776,IC50,sub - nanomolar ic50,,indirect,20221103
Ivermectin,10.1101/2021.11.01.466865,EC50,1,,direct,20221103
Selamectin,10.1101/2021.11.01.466865,EC50,2,,direct,20221103
Moxidectin,10.1101/2021.11.01.466865,EC50,2,,direct,20221103
Ribose,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20221103
Remdesivir,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20221103
Rhamnose,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20221103
Pectin,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20221103
Galactose,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20221103
Gramicidin,10.1101/2021.10.21.465254,EC50,1.571,,direct,20221103
Melittin,10.1101/2021.10.21.465254,EC50,1.571,,direct,20221103
Pyronaridine,10.1101/2021.09.30.462449,IC50,1.8,micro,direct,20221103
Remdesivir,10.1101/2021.09.30.462449,IC50,1.8,micro,indirect,20221103
Disulfiram,10.1101/2021.09.17.460613,EC50,154, nm,direct,20221103
Copper,10.1101/2021.09.17.460613,EC50,154, nm,indirect,20221103
Remdesivir,10.1101/2021.09.07.459230,IC50,0.15,micro,direct,20221103
Artemisinin,10.1101/2021.09.08.459260,IC50,0.3,,direct,20221103
Water,10.1101/2021.09.08.459260,IC50,0.3,,indirect,20221103
Hydrogen,10.1101/2021.09.06.459055,IC50,0.41,,indirect,20221103
Leucine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect,20221103
Glutamine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect,20221103
Angiotensin,10.1101/2021.08.10.455627,IC50,2022,,indirect,20221103
Angiotensin,10.1101/2021.08.05.21261616,IC50,0.83,,indirect,20221103
Mefloquine,10.1101/2021.07.21.451321,EC50,1.2, um,direct,20221103
Hydroxychloroquine,10.1101/2021.07.21.451321,EC50,1.2, um,indirect,20221103
Chloroquine,10.1101/2021.07.21.451321,EC50,1.2, um,indirect,20221103
Quercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20221103
Rutin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20221103
Dihydroquercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20221103
Dihydromyricetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20221103
Isoquercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20221103
Kaempferol,10.1101/2021.07.01.450756,IC50,0.125, um,indirect,20221103
Remdesivir,10.1101/2021.07.03.450938,IC50,9.3,,direct,20221103
Bepridil,10.1101/2021.06.08.447613,EC50,1, um,indirect,20221103
Chloroquine,10.1101/2021.06.08.447613,EC50,1, um,indirect,20221103
Ebselen,10.1101/2021.06.08.447613,EC50,1, um,indirect,20221103
Hydroxychloroquine,10.1101/2021.06.08.447613,EC50,1, um,indirect,20221103
Boceprevir,10.1101/2021.06.08.447613,EC50,1, um,indirect,20221103
Angiotensin,10.1101/2021.06.04.447130,IC50,15,,indirect,20221103
Cysteine,10.1101/2021.06.04.447160,IC50,60, um,indirect,20221103
Papain,10.1101/2021.06.04.447160,IC50,60, um,indirect,20221103
Angiotensin,10.1101/2021.05.17.444533,IC50,0.4,,indirect,20221103
Serine,10.1101/2021.05.06.442935,EC50,430, nm,indirect,20221103
Camostat,10.1101/2021.05.06.442935,EC50,430, nm,indirect,20221103
Hopeaphenol,10.1101/2021.04.29.442010,IC50,0.11, um,direct,20221103
Resveratrol,10.1101/2021.04.29.442010,IC50,0.11, um,indirect,20221103
Remdesivir,10.1101/2021.04.02.438204,IC50,1, um,indirect,20221103
Galidesivir,10.1101/2021.03.25.436935,IC50,1,,direct,20221103
Favipiravir,10.1101/2021.03.25.436935,IC50,1,,indirect,20221103
Remdesivir,10.1101/2021.03.25.436935,IC50,1,,indirect,20221103
Diclazuril,10.1101/2021.03.19.435806,IC50,29,,direct,20221103
Remdesivir,10.1101/2021.03.19.435806,IC50,29,,indirect,20221103
Tyrosine,10.1101/2021.03.19.435806,IC50,29,,indirect,20221103
Sunitinib,10.1101/2021.03.19.435806,IC50,29,,indirect,20221103
Pazopanib,10.1101/2021.03.19.435806,IC50,29,,indirect,20221103
Chymotrypsin,10.1101/2021.03.19.435806,IC50,29,,indirect,20221103
Lenvatinib,10.1101/2021.03.19.435806,IC50,29,,indirect,20221103
Papain,10.1101/2021.03.15.435551,IC50,at the single - digit micromolar range,,indirect,20221103
Rottlerin,10.1101/2021.03.02.433618,IC50,37,,direct,20221103
Remdesivir,10.1101/2021.03.02.433604,IC50,1.5,micro,direct,20221103
Lysine,10.1101/2021.02.19.424337,IC50,70, nm,direct,20221103
Guanosine,10.1101/2021.02.19.424337,IC50,70, nm,indirect,20221103
Cysteine,10.1101/2021.02.13.431008,IC50,10,micro,indirect,20221103
Papain,10.1101/2021.02.13.431008,IC50,10,micro,indirect,20221103
Proline,10.1101/2021.02.17.431647,IC50,1,,indirect,20221103
Cotton,10.1101/2021.01.17.426875,EC50,100, nm,indirect,20221103
Phospholipids,10.1101/2021.01.12.426042,IC50,0.06,,indirect,20221103
Rhamnose,10.1101/2021.01.14.426521,IC50,0.48,,indirect,20221103
Glucose,10.1101/2021.01.14.426521,IC50,0.48,,indirect,20221103
Sulfate,10.1101/2021.01.14.426521,IC50,0.48,,indirect,20221103
Xylose,10.1101/2021.01.14.426521,IC50,0.48,,indirect,20221103
Galactose,10.1101/2021.01.14.426521,IC50,0.48,,indirect,20221103
Fucose,10.1101/2021.01.14.426521,IC50,0.48,,indirect,20221103
Mannose,10.1101/2021.01.14.426521,IC50,0.48,,indirect,20221103
Angiotensin,10.1101/2021.01.07.425806,IC50,60,,indirect,20221103
Yeast,10.1101/2021.01.07.425806,IC50,60,,indirect,20221103
Water,10.1101/2021.01.08.425825,IC50,0.1,,direct,20221103
Artemisinin,10.1101/2021.01.08.425825,IC50,0.1,,direct,20221103
Remdesivir,10.1101/2021.01.08.425825,IC50,0.1,,indirect,20221103
Artesunate,10.1101/2021.01.08.425825,IC50,70,micro,direct,20221103
Dihydroartemisinin,10.1101/2021.01.08.425825,IC50,70,micro,direct,20221103
Artemether,10.1101/2021.01.08.425825,IC50,70,micro,direct,20221103
Amodiaquine,10.1101/2021.01.08.425825,IC50,5.8, um,direct,20221103
Water,10.1101/2020.12.29.424534,EC50,769.1,,indirect,20221103
Remdesivir,10.1101/2020.12.29.424534,EC50,769.1,,indirect,20221103
Cysteine,10.1101/2020.12.23.424111,IC50,in the picomolar range,,indirect,20221103
Boceprevir,10.1101/2020.12.19.423537,EC50,1.27,micro,indirect,20221103
Chymotrypsin,10.1101/2020.12.16.422677,IC50,1,,direct,20221103
Myricetin,10.1101/2020.12.16.422677,IC50,1,,indirect,20221103
Neferine,10.1101/2020.12.13.420406,EC50,0.1, um,indirect,20221103
Calcium,10.1101/2020.12.13.420406,EC50,0.1, um,indirect,20221103
Hernandezine,10.1101/2020.12.13.420406,EC50,0.1, um,indirect,20221103
Cepharanthine,10.1101/2020.12.13.420406,EC50,0.1, um,indirect,20221103
Angiotensin,10.1101/2020.12.02.408153,IC50,735, nm,indirect,20221103
Chicken,10.1101/2020.11.29.401984,EC50,0.147, nm,indirect,20221103
Emetine,10.1101/2020.11.29.401984,EC50,0.147, nm,indirect,20221103
Thein,10.1101/2020.11.29.401984,EC50,0.147, nm,indirect,20221103
Pyronaridine,10.1101/2020.12.01.407361,IC50,180, nm,direct,20221103
Remdesivir,10.1101/2020.12.01.407361,IC50,180, nm,indirect,20221103
Boceprevir,10.1101/2020.12.02.408112,EC50,40, um,direct,20221103
