Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Honokiol,10.1101/2022.07.26.501656,EC50,7.8,micro,direct,20220901
Angiotensin,10.1101/2022.07.30.501940,IC50,64, nm,indirect,20220901
Artemisinin,10.1101/2022.07.22.501141,IC50,0.5,micro,direct,20220901
Nystatin,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20220901
Irbesartan,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20220901
Remdesivir,10.1101/2022.07.23.501242,EC50,31.8, nm,direct,20220901
Nitazoxanide,10.1101/2022.07.13.499346,IC50,0.05,,direct,20220901
Cysteine,10.1101/2022.07.06.498864,EC50,3.1,micro,indirect,20220901
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20220901
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20220901
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20220901
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20220901
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20220901
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220901
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220901
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220901
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220901
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220901
Merimepodib,10.1101/2021.12.18.473303,IC50,4,micro,direct,20220901
Threonine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220901
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220901
Carbon,10.1101/2021.12.18.473326,IC50,3,,direct,20220901
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220901
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220901
Dexamethasone,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220901
Remdesivir,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220901
Baricitinib,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220901
Remdesivir,10.1101/2021.12.03.471068,IC50,0.37, um,direct,20220901
Tropifexor,10.1101/2021.12.02.471030,EC50,4.03,micro,direct,20220901
Papain,10.1101/2021.12.02.471030,EC50,4.03,micro,indirect,20220901
Angiotensin,10.1101/2021.11.24.469776,IC50,sub - nanomolar ic50,,indirect,20220901
Remdesivir,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220901
Ribose,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220901
Ivermectin,10.1101/2021.11.01.466865,EC50,1,,direct,20220901
Selamectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220901
Moxidectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220901
Pectin,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220901
Galactose,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220901
Rhamnose,10.1101/2021.10.27.466067,EC50,0.9,,indirect,20220901
Melittin,10.1101/2021.10.21.465254,EC50,1.571,,direct,20220901
Gramicidin,10.1101/2021.10.21.465254,EC50,1.571,,direct,20220901
Pyronaridine,10.1101/2021.09.30.462449,IC50,1.8,micro,direct,20220901
Remdesivir,10.1101/2021.09.30.462449,IC50,1.8,micro,indirect,20220901
Disulfiram,10.1101/2021.09.17.460613,EC50,154, nm,direct,20220901
Copper,10.1101/2021.09.17.460613,EC50,154, nm,indirect,20220901
Remdesivir,10.1101/2021.09.07.459230,IC50,0.15,micro,direct,20220901
Artemisinin,10.1101/2021.09.08.459260,IC50,0.3,,direct,20220901
Water,10.1101/2021.09.08.459260,IC50,0.3,,indirect,20220901
Hydrogen,10.1101/2021.09.06.459055,IC50,0.41,,indirect,20220901
Leucine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect,20220901
Glutamine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect,20220901
