Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Honokiol,10.1101/2022.07.26.501656,EC50,7.8,micro,direct,20220903
Angiotensin,10.1101/2022.07.30.501940,IC50,64, nm,indirect,20220903
Artemisinin,10.1101/2022.07.22.501141,IC50,0.5,micro,direct,20220903
Nystatin,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20220903
Irbesartan,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20220903
Remdesivir,10.1101/2022.07.23.501242,EC50,31.8, nm,direct,20220903
Nitazoxanide,10.1101/2022.07.13.499346,IC50,0.05,,direct,20220903
Cysteine,10.1101/2022.07.06.498864,EC50,3.1,micro,indirect,20220903
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20220903
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20220903
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20220903
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20220903
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20220903
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220903
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220903
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220903
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220903
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20220903
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220903
Threonine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20220903
Carbon,10.1101/2021.12.18.473326,IC50,3,,direct,20220903
Merimepodib,10.1101/2021.12.18.473303,IC50,4,micro,direct,20220903
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220903
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20220903
Remdesivir,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220903
Dexamethasone,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220903
Baricitinib,10.1101/2021.12.16.472155,IC50,0.79, um,indirect,20220903
Remdesivir,10.1101/2021.12.03.471068,IC50,0.37, um,direct,20220903
Tropifexor,10.1101/2021.12.02.471030,EC50,4.03,micro,direct,20220903
Papain,10.1101/2021.12.02.471030,EC50,4.03,micro,indirect,20220903
Angiotensin,10.1101/2021.11.24.469776,IC50,sub - nanomolar ic50,,indirect,20220903
Ribose,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220903
Remdesivir,10.1101/2021.11.03.467186,EC50,4.1,,indirect,20220903
Ivermectin,10.1101/2021.11.01.466865,EC50,1,,direct,20220903
Selamectin,10.1101/2021.11.01.466865,EC50,2,,direct,20220903
