Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Znso4,10.1042/BCJ20220380,IC50,2, um,direct,20221014
Zncl2,10.1042/BCJ20220380,IC50,2, um,direct,20221014
Calcium,10.1042/BCJ20220380,IC50,2, um,indirect,20221014
Tryptophan,10.1042/BCJ20220380,IC50,2, um,indirect,20221014
Magnesium,10.1042/BCJ20220380,IC50,2, um,indirect,20221014
Papain,10.1042/BCJ20220380,IC50,2, um,indirect,20221014
Cysteine,10.1042/BCJ20220380,IC50,2, um,indirect,20221014
Manganese,10.1042/BCJ20220380,IC50,2, um,indirect,20221014
Angiotensin,10.1371/journal.ppat.1010799,EC50,8, nm,indirect,20221014
Honokiol,10.1101/2022.07.26.501656,EC50,7.8,micro,direct,20221014
Angiotensin,10.1101/2022.07.30.501940,IC50,64, nm,indirect,20221014
Irbesartan,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20221014
Nystatin,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20221014
Remdesivir,10.1101/2022.07.23.501242,EC50,31.8, nm,direct,20221014
Artemisinin,10.1101/2022.07.22.501141,IC50,0.5,micro,direct,20221014
Nitazoxanide,10.1101/2022.07.13.499346,IC50,0.05,,direct,20221014
Cysteine,10.1101/2022.07.06.498864,EC50,3.1,micro,indirect,20221014
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20221014
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20221014
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20221014
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20221014
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20221014
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221014
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221014
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221014
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221014
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221014
Threonine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20221014
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect,20221014
Carbon,10.1101/2021.12.18.473326,IC50,3,,direct,20221014
Merimepodib,10.1101/2021.12.18.473303,IC50,4,micro,direct,20221014
