Drug name,DOI,Assay,Value,Units,Correlation,Date Added
Linagliptin,10.1101/2022.11.11.516107,EC50,5,micro,indirect,20221114
Papain,10.1101/2022.11.11.516107,EC50,5,micro,indirect,20221114
Flupenthixol,10.1101/2022.11.11.516107,EC50,5,micro,indirect,20221114
Teneligliptin,10.1101/2022.11.11.516107,EC50,5,micro,indirect,20221114
Hydrogen,10.1016/j.fct.2022.113438,IC50,2, um,indirect,20221114
Hydroxychloroquine,10.1002/jcph.2092,EC50,0.7, um,indirect,20221114
Znso4,10.1042/BCJ20220380,IC50,2, um,direct,20221114
Zncl2,10.1042/BCJ20220380,IC50,2, um,direct,20221114
Tryptophan,10.1042/BCJ20220380,IC50,2, um,indirect,20221114
Manganese,10.1042/BCJ20220380,IC50,2, um,indirect,20221114
Papain,10.1042/BCJ20220380,IC50,2, um,indirect,20221114
Magnesium,10.1042/BCJ20220380,IC50,2, um,indirect,20221114
Calcium,10.1042/BCJ20220380,IC50,2, um,indirect,20221114
Cysteine,10.1042/BCJ20220380,IC50,2, um,indirect,20221114
Angiotensin,10.1101/2022.07.30.501940,IC50,64, nm,indirect,20221114
Honokiol,10.1101/2022.07.26.501656,EC50,7.8,micro,direct,20221114
Artemisinin,10.1101/2022.07.22.501141,IC50,0.5,micro,direct,20221114
Irbesartan,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20221114
Nystatin,10.1101/2022.07.23.501242,EC50,1.24,micro,indirect,20221114
Remdesivir,10.1101/2022.07.23.501242,EC50,31.8, nm,direct,20221114
Nitazoxanide,10.1101/2022.07.13.499346,IC50,0.05,,direct,20221114
Cysteine,10.1101/2022.07.06.498864,IC50,0.3,micro,indirect,20221114
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect,20221114
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect,20221114
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect,20221114
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect,20221114
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect,20221114
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221114
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221114
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221114
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221114
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect,20221114
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20221114
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct,20221114
